,Season,Player Name,Team,Games,W,L,OTL,GAA,GA,SA,SV,SV%,SO,MIN
338,2016,Jon Gillies,CGY,1,1,0,0,1.0,1,28,27,0.9640000000000001,0,60
339,2016,Eric Comrie,WPG,1,1,0,0,4.1,4,39,35,0.897,0,59
340,2016,Alex Stalock,MIN,2,1,1,0,1.5,3,54,51,0.9440000000000001,0,119
341,2016,Jonas Gustavsson,FA,7,1,3,1,3.1,17,139,122,0.878,0,329
342,2016,Jeremy Smith,FA,10,1,6,1,3.6,32,286,254,0.888,0,543
343,2016,Reto Berra,FA,7,0,5,0,3.5,18,145,127,0.8759999999999999,0,313
344,2016,Kristers Gudlevskis,FA,1,0,0,0,0.0,0,3,3,1.0,0,11
345,2016,Andrew Hammond,BUF,6,0,2,0,4.1,14,86,72,0.8370000000000001,0,206
346,2016,Pheonix Copley,WAS,1,0,1,0,5.2,5,29,24,0.828,0,59
347,2016,Anton Forsberg,CAR,1,0,1,0,4.1,4,27,23,0.852,0,59
348,2016,Jack Campbell,TOR,1,0,0,0,0.0,0,5,5,1.0,0,20
349,2016,Jhonas Enroth,FA,6,0,3,1,4.0,18,141,123,0.872,0,274
350,2016,David Rittich,CGY,1,0,0,0,3.0,1,10,9,0.9,0,20
351,2016,Malcolm Subban,CHI,1,0,1,0,6.0,3,16,13,0.813,0,31
352,2016,Tristan Jarry,PIT,1,0,1,0,3.1,3,25,22,0.88,0,59
353,2016,Spencer Martin,TB,3,0,2,1,4.4,13,96,83,0.865,0,179
354,2016,Justin Peters,FA,3,0,1,0,3.2,7,70,63,0.9,0,133
355,2016,Zane McIntyre,NJ,8,0,4,1,4.0,22,155,133,0.858,0,333
356,2016,Linus Ullmark,BUF,1,0,1,0,3.1,3,36,33,0.917,0,59
357,2016,Marek Langhamer,ARI,1,0,0,0,4.0,1,8,7,0.875,0,16
358,2016,Chris Driedger,FLA,1,0,1,0,6.0,4,15,11,0.733,0,40
359,2016,Dustin Tokarski,PIT,1,0,0,0,0.0,0,5,5,1.0,0,10
360,2016,Marek Mazanec,FA,4,0,2,0,4.8,14,87,73,0.8390000000000001,0,178
361,2016,Alex Nedeljkovic,CAR,1,0,0,0,0.0,0,17,17,1.0,0,30
362,2013,Semyon Varlamov,NYI,63,41,14,6,2.4,146,2013,1867,0.927,2,3640
363,2013,Antti Niemi,FA,64,39,17,7,2.4,149,1705,1556,0.9129999999999999,4,3740
364,2013,Marc-Andre Fleury,VGK,64,39,18,5,2.4,150,1774,1624,0.915,5,3792
365,2013,Ben Bishop,DAL,63,37,14,7,2.2,133,1758,1625,0.924,5,3586
366,2013,Tuukka Rask,BOS,58,36,15,6,2.0,115,1641,1526,0.93,7,3386
367,2013,Carey Price,MON,59,34,20,5,2.3,134,1828,1694,0.927,6,3464
368,2013,Henrik Lundqvist,NYR,63,33,24,5,2.4,144,1810,1666,0.92,5,3655
369,2013,Kari Lehtonen,FA,65,33,20,10,2.4,153,1888,1735,0.919,5,3804
370,2013,Steve Mason,FA,61,33,18,7,2.5,145,1751,1606,0.917,4,3486
371,2013,Corey Crawford,CHI,59,32,16,10,2.3,128,1533,1405,0.917,2,3395
372,2013,Sergei Bobrovsky,FLA,58,32,20,5,2.4,131,1699,1568,0.9229999999999999,5,3299
373,2013,Jaroslav Halak,BOS,52,29,13,7,2.3,110,1385,1275,0.9209999999999999,5,2939
374,2013,Jonas Hiller,FA,50,29,13,7,2.5,120,1348,1228,0.9109999999999999,5,2909
375,2013,Jonathan Quick,LA,49,27,17,4,2.1,100,1183,1083,0.915,6,2904
376,2013,Mike Smith,EDM,62,27,21,10,2.7,159,1871,1712,0.915,3,3610
377,2013,Jonathan Bernier,DET,55,26,19,7,2.7,138,1787,1649,0.9229999999999999,1,3084
378,2013,Ryan Miller,ANH,59,25,30,4,2.7,154,1885,1731,0.9179999999999999,1,3500
379,2013,Craig Anderson,OTT,53,25,16,8,3.0,150,1680,1530,0.9109999999999999,4,3000
380,2013,Roberto Luongo,FA,56,25,23,7,2.4,129,1589,1460,0.919,4,3222
381,2013,Braden Holtby,WAS,48,23,15,4,2.9,126,1475,1349,0.915,4,2656
382,2013,Ondrej Pavelec,FA,57,22,26,7,3.0,163,1644,1481,0.9009999999999999,1,3248
383,2013,Jimmy Howard,DET,51,21,19,11,2.7,133,1482,1349,0.91,2,3004
