,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Dennis Wideman,FA,D,80,15,41,56,6,34,173,2,6,15,0,0,94,184
Lee Stempniak,FA,RW,71,15,13,28,8,20,115,3,0,1,0,0,78,23
Mark Scheifele,WPG,C,82,15,34,49,11,24,170,2,3,10,0,0,100,61
Andrew Cogliano,DAL,LW,82,15,14,29,5,14,134,2,0,0,3,0,139,30
Zemgus Girgensons,BUF,C,61,15,15,30,-16,25,115,1,1,3,3,0,127,62
Jonathan Huberdeau,FLA,LW,79,15,39,54,10,38,169,0,0,12,0,0,68,24
Alex Killorn,TB,C,71,15,23,38,8,36,130,5,1,2,1,0,60,21
Lars Eller,WAS,C,77,15,12,27,-6,42,150,7,1,1,0,2,76,37
Sam Gagner,DET,C,81,15,26,41,-28,28,183,1,6,6,0,0,63,19
Darren Helm,DET,C,75,15,18,33,7,12,160,1,3,4,2,0,132,25
Nick Bonino,NSH,C,75,15,24,39,7,22,149,6,1,4,0,0,31,90
Roman Josi,NSH,D,81,15,40,55,15,26,201,4,3,12,0,3,53,209
Andrew Shaw,CHI,C,79,15,11,26,-8,67,146,2,5,1,0,0,127,33
Nikolay Kulemin,FA,RW,82,15,16,31,7,21,115,0,0,0,3,1,129,58
Shea Weber,MON,D,78,15,30,45,15,72,237,2,5,10,1,0,166,147
P.K. Subban,NJ,D,82,15,45,60,21,74,170,5,8,13,0,0,97,142
Mats Zuccarello,MIN,RW,78,15,34,49,17,45,154,3,0,6,0,0,120,42
Justin Faulk,STL,D,82,15,34,49,-19,30,238,4,7,13,2,0,157,114
Josh Bailey,NYI,LW,70,15,26,41,3,12,140,1,2,2,0,0,66,36
Tommy Wingels,FA,RW,75,15,21,36,-7,40,158,1,4,6,1,0,263,55
Nail Yakupov,FA,RW,81,14,19,33,-35,18,191,1,5,5,0,0,97,28
Brad Boyes,FA,RW,78,14,24,38,11,20,151,4,5,4,0,0,60,38
Kris Versteeg,FA,LW,61,14,20,34,11,35,134,1,2,3,0,0,31,22
Patrick Eaves,ANH,RW,47,14,13,27,12,8,91,2,6,3,0,0,69,27
David Jones,FA,RW,67,14,16,30,-3,18,114,1,2,0,0,0,125,45
Mikko Koivu,MIN,C,80,14,34,48,2,38,179,4,4,11,0,0,40,41
David Desharnais,FA,C,82,14,34,48,22,24,90,4,2,9,0,0,43,49
