,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Evgenii Dadonov,FLA,RW,36,8,9,17,0,14,60,0,1,0,0,0,45,11
Tim Brent,FA,C,79,8,12,20,-4,33,60,1,0,4,1,1,104,58
Mike Green,EDM,D,49,8,16,24,6,48,115,1,5,5,0,1,100,109
Colby Armstrong,FA,RW,50,8,15,23,-1,38,69,0,0,0,0,0,88,28
Kris Letang,PIT,D,82,8,42,50,15,101,236,2,4,20,0,1,167,109
David Desharnais,FA,C,43,8,14,22,-3,12,55,0,4,4,0,0,16,19
Mattias Tedenby,FA,LW,58,8,14,22,3,14,87,2,2,3,0,0,24,2
Nick Spaling,FA,C,74,8,6,14,-10,20,75,2,1,0,0,0,37,33
Dion Phaneuf,FA,D,66,8,22,30,-2,88,190,1,3,9,0,1,186,121
Maxime Talbot,FA,C,82,8,13,21,-3,66,117,2,0,0,2,1,154,40
Andrej Meszaros,FA,D,81,8,24,32,30,42,144,2,3,3,0,0,189,139
Cody McCormick,FA,C,81,8,12,20,2,142,104,1,0,1,0,0,108,60
Jordin Tootoo,FA,RW,54,8,10,18,8,61,85,1,0,0,0,0,95,17
Erik Johnson,COL,D,77,8,21,29,-13,56,161,2,3,7,1,1,99,133
Adam Burish,FA,RW,63,8,6,14,2,91,89,1,0,0,0,0,77,70
Alex Frolov,FA,LW,43,7,9,16,4,8,78,2,0,1,0,0,39,15
Justin Abdelkader,DET,LW,74,7,12,19,15,61,129,1,0,0,0,1,188,39
